Date,Price,Open,High,Low,Vol.,Change +ACU-
08/12/2022,28546.98,28251.74,28546.98,28207.86,,2.62+ACU-
08/10/2022,27819.33,27955.11,27964.96,27729.46,,+AC0-0.65+ACU-
08/09/2022,27999.96,28236.84,28257.34,27966.91,,+AC0-0.88+ACU-
08/08/2022,28249.24,28050.09,28279.12,28047.08,,0.26+ACU-
08/05/2022,28175.87,27915.06,28190.04,27910.22,,0.87+ACU-
08/04/2022,27932.2,27930.94,28005.59,27870.05,,0.69+ACU-
08/03/2022,27741.9,27673,27837.63,27634.65,,0.53+ACU-
08/02/2022,27594.73,27812.48,27830.58,27530.6,,+AC0-1.42+ACU-
08/01/2022,27993.35,27813.82,27993.35,27751.59,,0.69+ACU-
07/29/2022,27801.64,27915.22,28001.8,27725.24,,+AC0-0.05+ACU-
07/28/2022,27815.48,27909.15,28015.68,27651.99,,0.36+ACU-
07/27/2022,27715.75,27575.16,27772.97,27525.09,,0.22+ACU-
07/26/2022,27655.21,27682.2,27715.78,27538.39,,+AC0-0.16+ACU-
07/25/2022,27699.25,27697.77,27848.59,27663.16,,+AC0-0.77+ACU-
07/22/2022,27914.66,27773.14,27952.25,27701.25,,0.40+ACU-
07/21/2022,27803,27627.88,27803,27549.56,,0.44+ACU-
07/20/2022,27680.26,27295.95,27692.85,27295.95,,2.67+ACU-
07/19/2022,26961.68,27003.83,27043.58,26791.71,,0.65+ACU-
07/15/2022,26788.47,26736.08,26857.77,26571.38,,0.54+ACU-
07/14/2022,26643.39,26357.32,26713.07,26312.79,,0.62+ACU-
07/13/2022,26478.77,26403.79,26543.07,26389.1,,0.54+ACU-
07/12/2022,26336.66,26701,26718.67,26278.28,,+AC0-1.77+ACU-
07/11/2022,26812.3,26892.73,27062.17,26710.59,,1.11+ACU-
07/08/2022,26517.19,26623.85,26881.75,26510.53,,0.10+ACU-
07/07/2022,26490.53,26280.94,26533.65,26136.99,,1.47+ACU-
07/06/2022,26107.65,26190.4,26298.96,26051.19,,+AC0-1.20+ACU-
07/05/2022,26423.47,26386.23,26532.51,26294.84,,1.03+ACU-
07/04/2022,26153.81,26086.78,26258.86,25945.83,,0.84+ACU-
07/01/2022,25935.62,26460.71,26531.24,25841.75,,+AC0-1.73+ACU-
06/30/2022,26393.04,26753.28,26753.28,26324.31,,+AC0-1.54+ACU-
06/29/2022,26804.6,26814.23,26858.68,26687.47,,+AC0-0.91+ACU-
06/28/2022,27049.47,26795.68,27062.31,26789.5,,0.66+ACU-
06/27/2022,26871.27,26741.8,26938.43,26665.44,,1.43+ACU-
06/24/2022,26491.97,26228.42,26519.16,26148.56,,1.23+ACU-
06/23/2022,26171.25,26134.89,26401.97,26039.57,,0.08+ACU-
06/22/2022,26149.55,26441.72,26462.83,26149.17,,+AC0-0.37+ACU-
06/21/2022,26246.31,26070.92,26418.84,25972.28,,1.84+ACU-
06/20/2022,25771.22,26156.62,26156.62,25520.23,,+AC0-0.74+ACU-
06/17/2022,25963,25988.2,26072.35,25720.8,,+AC0-1.77+ACU-
06/16/2022,26431.2,26715.52,26947.7,26431.2,,0.40+ACU-
06/15/2022,26326.16,26625.68,26638.76,26321.68,,+AC0-1.14+ACU-
06/14/2022,26629.86,26555.75,26657.92,26357.9,,+AC0-1.32+ACU-
06/13/2022,26987.44,27369.66,27389.3,26948.22,,+AC0-3.01+ACU-
06/10/2022,27824.29,27996.35,28044.45,27795.17,,+AC0-1.49+ACU-
06/09/2022,28246.53,28189.35,28389.75,28189.35,,0.04+ACU-
06/08/2022,28234.29,28100.26,28234.29,28089.78,,1.04+ACU-
06/07/2022,27943.95,27984.79,28094.73,27863.38,,0.10+ACU-
06/06/2022,27915.89,27549.64,27979.54,27523.95,,0.56+ACU-
06/03/2022,27761.57,27660.62,27776.33,27614.86,,1.27+ACU-
06/02/2022,27413.88,27340.52,27450.47,27251.24,,+AC0-0.16+ACU-
06/01/2022,27457.89,27295.63,27482.31,27295.42,,0.65+ACU-
05/31/2022,27279.8,27318.09,27463.33,27250.7,,+AC0-0.33+ACU-
05/30/2022,27369.43,27092.82,27401.24,27057.2,,2.19+ACU-
05/27/2022,26781.68,26947.8,26996.7,26731.6,,0.66+ACU-
05/26/2022,26604.84,26604.84,26604.84,26604.84,,+AC0-0.27+ACU-
05/25/2022,26677.8,26711.53,26795.89,26578.03,,+AC0-0.26+ACU-
05/24/2022,26748.14,27005.43,27005.43,26736.01,,+AC0-0.94+ACU-
05/23/2022,27001.52,26991.42,27047.47,26832.65,,0.98+ACU-
05/20/2022,26739.03,26448.23,26769.2,26426.99,,1.27+ACU-
05/19/2022,26402.84,26435.32,26458.85,26150.09,,+AC0-1.89+ACU-
05/18/2022,26911.2,26826.82,27053.18,26741.34,,0.94+ACU-
05/17/2022,26659.75,26555.23,26709.26,26440.62,,0.42+ACU-
05/16/2022,26547.05,26753.37,26836.96,26438.61,,0.45+ACU-
05/13/2022,26427.65,25918.8,26479.93,25904.4,,2.64+ACU-
05/12/2022,25748.72,25945.04,26028.36,25688.11,,+AC0-1.77+ACU-
05/11/2022,26213.64,26045.38,26290.62,26003.26,,0.18+ACU-
05/10/2022,26167.1,26149.06,26246.63,25773.83,,+AC0-0.58+ACU-
05/09/2022,26319.34,26705.32,26732.61,26309.22,,+AC0-2.53+ACU-
05/06/2022,27003.56,26784.29,27072.59,26543.29,,0.69+ACU-
05/02/2022,26818.53,26851.1,26964.59,26610.86,,+AC0-0.11+ACU-
04/28/2022,26847.9,26430.28,26876.95,26348.36,,1.75+ACU-
04/27/2022,26386.63,26313.14,26406.62,26051.04,,+AC0-1.17+ACU-
04/26/2022,26700.11,26743.21,26808.99,26592.99,,0.41+ACU-
04/25/2022,26590.78,26692.48,26764.48,26487.84,,+AC0-1.90+ACU-
04/22/2022,27105.26,27197.8,27205.83,26904.38,,+AC0-1.63+ACU-
04/21/2022,27553.06,27259.14,27580.64,27252.83,,1.23+ACU-
04/20/2022,27217.85,27210.79,27389.84,27066.18,,0.86+ACU-
04/19/2022,26985.09,27096.49,27100.59,26777.71,,0.69+ACU-
04/18/2022,26799.71,26831.45,26851.8,26571.38,,+AC0-1.08+ACU-
04/15/2022,27093.19,26932.48,27203.77,26784.92,,+AC0-0.29+ACU-
04/14/2022,27172,26925.64,27200.89,26890.68,,1.22+ACU-
04/13/2022,26843.49,26436.06,26885.87,26429.47,,1.93+ACU-
04/12/2022,26334.98,26606.87,26674.86,26304.08,,+AC0-1.81+ACU-
04/11/2022,26821.52,26877.6,27004.5,26720.46,,+AC0-0.61+ACU-
04/08/2022,26985.8,27097.05,27185.23,26764.36,,0.36+ACU-
04/07/2022,26888.57,27032.42,27042.49,26801.79,,+AC0-1.69+ACU-
04/06/2022,27350.3,27533.88,27549.67,27214.61,,+AC0-1.58+ACU-
04/05/2022,27787.98,27965.94,27965.94,27662.28,,0.19+ACU-
04/04/2022,27736.47,27685.65,27754.24,27578.81,,0.25+ACU-
04/01/2022,27665.98,27624.11,27738.31,27399.48,,+AC0-0.56+ACU-
03/31/2022,27821.43,27809.97,28101.68,27763.96,,+AC0-0.73+ACU-
03/30/2022,28027.25,28250.8,28281.45,27736.27,,+AC0-0.80+ACU-
03/29/2022,28252.42,28173.43,28252.42,28063.92,,1.10+ACU-
03/28/2022,27943.89,28084.08,28084.08,27812.67,,+AC0-0.73+ACU-
03/25/2022,28149.84,28338.81,28338.81,27946.79,,0.14+ACU-
03/24/2022,28110.39,27693.77,28110.39,27624.62,,0.25+ACU-
03/23/2022,28040.16,27606.79,28056.2,27604.37,,3.00+ACU-
03/22/2022,27224.11,27091.32,27284.47,27076.33,,1.48+ACU-
03/18/2022,26827.43,26649.5,26862.43,26592.98,,0.65+ACU-
03/17/2022,26652.89,26170.38,26702.94,26152.89,,3.46+ACU-
03/16/2022,25762.01,25574.9,25824.94,25470.46,,1.64+ACU-
03/15/2022,25346.48,25228.53,25441.67,25219.13,,0.15+ACU-
03/14/2022,25307.85,25338.64,25631.01,25299.64,,0.58+ACU-
03/11/2022,25162.78,25495.03,25503.65,24966.5,,+AC0-2.05+ACU-
03/10/2022,25690.4,25108.47,25720.31,25099.85,,3.94+ACU-
03/09/2022,24717.53,24876.49,25084.08,24681.74,,+AC0-0.30+ACU-
03/08/2022,24790.95,24974.35,25291.33,24767.33,,+AC0-1.71+ACU-
03/07/2022,25221.41,25634.09,25640.41,25006.26,,+AC0-2.94+ACU-
