Date,Price,Open,High,Low,Vol.,Change +ACU-
04/08/2023,7564.37,7529.16,7569.55,7487.36,503.24M,0.47+ACU-
03/08/2023,7529.16,7561.63,7562.13,7437.88,1.24B,+AC0-0.43+ACU-
02/08/2023,7561.63,7666.27,7666.27,7522.24,745.64M,+AC0-1.36+ACU-
01/08/2023,7666.27,7699.41,7715.24,7650.15,556.25M,+AC0-0.43+ACU-
31/07/2023,7699.41,7694.27,7722.92,7667.81,593.69M,0.07+ACU-
28/07/2023,7694.27,7692.76,7716.82,7680.19,710.94M,0.02+ACU-
27/07/2023,7692.76,7676.89,7709.66,7662.4,963.65M,0.21+ACU-
26/07/2023,7676.89,7691.8,7702.74,7630,807.17M,+AC0-0.19+ACU-
25/07/2023,7691.8,7678.59,7702.35,7676.5,433.68M,0.17+ACU-
24/07/2023,7678.59,7663.73,7684.97,7633.29,521.47M,0.19+ACU-
21/07/2023,7663.73,7646.05,7674.23,7639.45,506.40M,0.23+ACU-
20/07/2023,7646.05,7588.2,7661.87,7585.85,631.30M,0.76+ACU-
19/07/2023,7588.2,7453.69,7625.14,7453.69,841.73M,1.80+ACU-
18/07/2023,7453.69,7406.42,7459.15,7398.53,464.63M,0.64+ACU-
17/07/2023,7406.42,7434.57,7437.61,7395.67,435.68M,+AC0-0.38+ACU-
14/07/2023,7434.57,7440.21,7480.43,7421.31,497.56M,+AC0-0.08+ACU-
13/07/2023,7440.21,7416.11,7457.2,7409.25,584.51M,0.32+ACU-
12/07/2023,7416.11,7282.52,7425.1,7282.52,994.05M,1.83+ACU-
11/07/2023,7282.52,7273.79,7285.33,7239.23,495.97M,0.12+ACU-
10/07/2023,7273.79,7256.94,7306.09,7238.72,428.03M,0.23+ACU-
07/07/2023,7256.94,7280.5,7280.5,7229.57,493.78M,+AC0-0.32+ACU-
06/07/2023,7280.5,7442.1,7442.1,7267.62,743.92M,+AC0-2.17+ACU-
05/07/2023,7442.1,7519.72,7519.72,7434.66,690.59M,+AC0-1.03+ACU-
04/07/2023,7519.72,7527.26,7547.38,7518.36,588.11M,+AC0-0.10+ACU-
03/07/2023,7527.26,7531.53,7561.26,7513.93,533.59M,+AC0-0.06+ACU-
30/06/2023,7531.53,7471.69,7551.59,7471.69,729.20M,0.80+ACU-
29/06/2023,7471.69,7500.49,7505.61,7460.53,607.91M,+AC0-0.38+ACU-
28/06/2023,7500.49,7461.46,7518.33,7461.46,639.84M,0.52+ACU-
27/06/2023,7461.46,7453.58,7495.88,7428.11,673.46M,0.11+ACU-
26/06/2023,7453.58,7461.87,7476.45,7401.18,850.08M,+AC0-0.11+ACU-
23/06/2023,7461.87,7502.03,7502.03,7439.72,620.87M,+AC0-0.54+ACU-
22/06/2023,7502.03,7559.18,7559.18,7458.35,654.66M,+AC0-0.76+ACU-
21/06/2023,7559.18,7569.31,7577.6,7520.92,610.36M,+AC0-0.13+ACU-
20/06/2023,7569.31,7588.48,7607.53,7566.33,580.00M,+AC0-0.25+ACU-
19/06/2023,7588.48,7642.72,7642.72,7581.84,437.65M,+AC0-0.71+ACU-
16/06/2023,7642.72,7628.26,7687.61,7627.83,2.01B,0.19+ACU-
15/06/2023,7628.26,7602.74,7632.67,7584.78,837.69M,0.34+ACU-
14/06/2023,7602.74,7594.78,7639.79,7579.27,677.23M,0.10+ACU-
13/06/2023,7594.78,7570.69,7610.77,7556.32,1.00B,0.32+ACU-
12/06/2023,7570.69,7562.36,7599.87,7556.81,538.22M,0.11+ACU-
09/06/2023,7562.36,7599.74,7621.72,7546.5,562.14M,+AC0-0.49+ACU-
08/06/2023,7599.74,7624.34,7638.61,7587.99,528.47M,+AC0-0.32+ACU-
07/06/2023,7624.34,7628.1,7642.4,7604.42,612.86M,+AC0-0.05+ACU-
06/06/2023,7628.1,7599.99,7636.06,7556.16,666.96M,0.37+ACU-
05/06/2023,7599.99,7607.28,7654.84,7594.13,548.34M,+AC0-0.10+ACU-
02/06/2023,7607.28,7490.27,7614.89,7490.02,632.69M,1.56+ACU-
01/06/2023,7490.27,7446.14,7498.59,7445.3,962.69M,0.59+ACU-
31/05/2023,7446.14,7522.07,7522.07,7446.14,2.28B,+AC0-1.01+ACU-
30/05/2023,7522.07,7627.2,7628.12,7516.52,837.72M,+AC0-1.38+ACU-
26/05/2023,7627.2,7570.87,7643.56,7556.92,687.53M,0.74+ACU-
25/05/2023,7570.87,7627.1,7629.08,7569.17,723.91M,+AC0-0.74+ACU-
24/05/2023,7627.1,7762.95,7762.95,7590.24,988.49M,+AC0-1.75+ACU-
